       a     a^2      a^3       a^4
     1.1    1.21    1.331    1.4641
     1.2    1.44    1.728    2.0736
     1.3    1.69    2.197    2.8561
     1.4    1.96    2.744    3.8416
     1.5    2.25    3.375    5.0625
     1.6    2.56    4.096    6.5536
     1.7    2.89    4.913    8.3521
     1.8    3.24    5.832   10.4976
     1.9    3.61    6.859   13.0321
     2.0    4.00    8.000   16.0000
     2.1    4.41    9.261   19.4481
     2.2    4.84   10.648   23.4256
     2.3    5.29   12.167   27.9841
     2.4    5.76   13.824   33.1776
     2.5    6.25   15.625   39.0625
     2.6    6.76   17.576   45.6976
     2.7    7.29   19.683   53.1441
     2.8    7.84   21.952   61.4656
     2.9    8.41   24.389   70.7281
     3.0    9.00   27.000   81.0000

